"Activation Key Required","要求激活密钥"
"Log in to leave a Comment","登录以发表评论"
"Click here to cancel reply.","点击这里取消回复。"
"Leave a Reply","发表评论"
"Leave a Reply to %s","向 %s 进行回复"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">说道：</span>"
"Your comment is awaiting moderation.","您的评论正等待审核。"
"%s at %s","%s%s"
"(Edit)","(编辑)"
"Name","名称"
"Email","电子邮件"
"Website","站点"
"Required fields are marked %s","必填项已用 %s 标注"
"You must be <a href=\"%s\">logged in</a> to post a comment.","要发表评论，您必须先<a href=\"%s\">登录</a>。"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","以 <a href=\"%s\">%s</a> 的身份登录。<a href=\"%s\" title=\"登出此帐户\">登出？</a>"
"Your email address will not be published.","电子邮件地址不会被公开。"
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","您可以使用这些 <abbr title=\"HyperText Markup Language\">HTML</abbr> 标签和属性：%s"
"Cancel reply","取消回复"
"Post Comment","发表评论"
"Unapproved","驳回"
"Approved","已审核"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","检测到重复评论，您似乎已经提交过这条评论了！"
"You are posting comments too quickly. Slow down.","您提交评论的速度太快了，请稍后再发表评论。"
"Could not update comment status","无法更新评论状态"
"This argument has changed to an array to match the behavior of the other cron functions.","为了和其他 cron 计划任务函数的行为相匹配，这个参数已被改为一个数组。"
"Once Hourly","每小时一次"
"Twice Daily","每日两次"
"Once Daily","每日一次"
"Your site&#8217;s WordPress Pages","您站点的 WordPress 页面"
"Pages","页面"
"Sort by:","排序依据："
"Page title","页面标题"
"Page order","页面排序"
"Page ID","页面 ID"
"Exclude:","除了："
"Page IDs, separated by commas.","页面 ID，多个 ID 请用英文逗号（,）或中文顿号（、）隔开。"
"Your blogroll","您的链接表"
"Links","链接"
"Select Link Category:","选择链接分类目录："
"All Links","全部链接"
"Link title","链接标题"
"Link rating","链接评级"
"Link ID","链接 ID"
"Random","随机"
"Show Link Image","显示链接图像"
"Show Link Name","显示链接名"
"Show Link Description","显示链接描述"
"Show Link Rating","显示链接评级"
"Number of links to show:","显示链接数："
"A search form for your site","您站点的搜索框"
"A monthly archive of your site&#8217;s posts","您站点文章的月度存档"
"Archives","归档"
"Select Month","选择月份"
"Display as dropdown","以下拉菜单显示"
"Show post counts","显示文章数目"
"Log in/out, admin, feed and WordPress links","登录和登出、管理、feed 和 WordPress 的链接"
"Meta","功能"
"Syndicate this site using RSS 2.0","使用 RSS 2.0 订阅本站点内容"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","文章 <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"The latest comments to all posts in RSS","使用 RSS 订阅本站点的所有文章的近期评论"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","评论 <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","基于 WordPress，一个优美、先进的个人信息发布平台。"
"A calendar of your site&#8217;s posts","您站点的文章日程表"
"Calendar","日历"
"Arbitrary text or HTML","任意文本或 HTML"
"Automatically add paragraphs","自动分段"
"A list or dropdown of categories","分类目录的列表或下拉菜单"
"Select Category","选择分类目录"
"Show hierarchy","体现层级关系"
"The most recent posts on your site","您站点最近的文章"
"Recent Posts","近期文章"
"Number of posts to show:","显示文章数："
"Display post date?","显示文章日期？"
"The most recent comments","近期的数条评论"
"Recent Comments","近期评论"
"%s on %s","%s 上的 %s"
"Number of comments to show:","显示评论的数量："
"Entries from any RSS or Atom feed","嵌入任意 RSS 或 Atom feed 中的条目"
"Unknown Feed","未知 Feed"
"Syndicate this content","订阅此内容"
"<strong>RSS Error</strong>: %s","<strong>RSS 错误</strong>：%s"
"An error has occurred, which probably means the feed is down. Try again later.","发生了一个错误，feed 可能宕机，请稍后再试。"
"Untitled","未命名"
"RSS Error: %s","RSS 错误：%s"
"Enter the RSS feed URL here:","在此输入 RSS feed URL："
"Give the feed a title (optional):","为 feed 拟个标题（可选）："
"How many items would you like to display?","您希望显示多少个项目？"
"Display item content?","显示条目内容？"
"Display item author if available?","如果可用，显示条目作者？"
"Display item date?","显示条目日期？"
"Your most used tags in cloud format","用云的形式展现您常用的标签"
"Tag Cloud","标签云"
"Tags","标签"
"Taxonomy:","分类法："
"Use this widget to add one of your custom menus as a widget.","这个小工具可使自定义菜单显示在边栏中。"
"Custom Menu","自定义菜单"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","尚无导航菜单。<a href=\"%s\">创建一些</a>。"
"Select Menu:","选择菜单："
"new WordPress Loop","新的 WordPress Loop 机制"
"None","无"
"Last updated","最后更新"
"Missing Attachment","附件丢失"
"First Post","首篇文章"
"Last Post","最新文章"
"Are you sure you want to do this?","您确定要这样做？"
"File &#8220;%s&#8221; doesn&#8217;t exist?","“%s”文件不存在？"
"The GD image library is not installed.","未安装 GD 图像库。"
"File &#8220;%s&#8221; is not an image.","“%s”不是图像文件。"
"Comments on %s","《%s》上的评论"
"Comments for %s searching on %s","%s 的评论搜索“%s”"
"Comments for %s","“%s”的评论"
"Comment on %s by %s","%s 对《%s》的评论"
"By: %s","作者：%s"
"Comments on: %s","《%s》的评论"
"Protected Comments: Please enter your password to view comments.","评论受保护：要查看请输入密码。"
"words","characters"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","看起来您输入的电子邮件地址无效。请输入正确的电子邮件地址。"
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","您输入的 WordPress 地址可能有误。请输入一个正确的 URL。"
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","您输入的站点地址可能有误。请输入正确的 URL。"
"The timezone you have entered is not valid. Please select a valid timezone.","您输入的时区无效。请选择有效的时区。"
", and","，和 "
"and"," 和 "
"ERROR: %s is not a valid feed template.","错误：%s 为无效 feed 模板。"
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","一些数据表不可用。也许需要 <a href=\"%s\">修复数据库</a>。"
"Unable to create directory %s. Is its parent directory writable by the server?","无法建立目录 %s。有没有上级目录的写权限？"
"Empty filename","文件名为空"
"Invalid file type","文件类型无效"
"Could not write file %s","无法写文件 %s"
"WordPress Failure Notice","WordPress 错误提醒"
"You are attempting to log out of %s","您正试图注销 %s"
"Do you really want to <a href='%s'>log out</a>?","您真的希望<a href='%s'>登出</a>？"
"Please try again.","请重试。"
"&laquo; Back","&laquo; 返回"
"WordPress &rsaquo; Error","WordPress &rsaquo; 错误"
"Database Error","数据库错误"
"Error establishing a database connection","建立数据库连接时出错"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","自 %s 版本起，已<strong>不建议使用</strong> %s，请换用 %s。"
"%s is <strong>deprecated</strong> since version %s with no alternative available.","自 %s 版本起，已<strong>不建议使用</strong> %s。没有替代方案。"
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","自 %s 版本起，已<strong>不建议</strong>给 %s 传入一个参数！%s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","自 %s 版本起，已<strong>不建议</strong>给 %s 传入一个参数！没有替代方案。"
"(This message was added in version %s.)","（这个消息是在 %s 版本添加的。）"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","更多信息，参见中文 Codex 文档：<a href=\"http://codex.wordpress.org/zh-cn:%sE5%s9C%sA8_WordPress_%sE4%sB8%sAD%sE8%sB0%s83%sE8%sAF%s95\">在 WordPress 中进行调试</a>。"
"%s was called <strong>incorrectly</strong>. %s %s","%s 的调用方法<strong>不正确</strong>。%s %s"
"Select a city","选择一个城市"
"UTC","协调世界时（UTC）"
"Manual Offsets","手动指定偏差"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","脚本和样式应在 %s、%s 和 %s 钩子之后再加入加载队列（enqueue）或注册（register）。"
"Search for:","搜索："
"Log in","登录"
"Log out","登出"
"Username","用户名"
"Password","密码"
"Remember Me","记住我的登录信息"
"Log In","登录"
"Register","注册"
"Site Admin","管理站点"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","<code>%s</code> 选项已不被 <code>bloginfo()</code> 函数家族支持。"
"Use the <code>%s</code> option instead.","请换用 <code>%s</code> 选项。"
"Search Results %s %s","搜索结果 %s %s"
"Page not found","未找到页面"
"%s %s2$d","%s2$d 年%s"
"%s %s","%s, %s"
"View posts for %s %s","查看 %s 年%s的文章"
"%s %s Comments Feed","%s %s 评论 Feed"
