"Activation Key Required","Требуется ключ активации"
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Чтобы активировать ваш блог, перейдите по ссылке:\n\n%s\n\nПосле активации вы получите *другое письмо* с вашим логином.\n\nПосле активации вы сможете увидеть ваш сайт здесь:\n\n%s"
"[%s] Activate %s","[%s] Активация %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Чтобы активировать вашу учётную запись, перейдите по ссылке:\n\n%s\n\nПосле активации вы получите *другое письмо* с вашим логином."
"Invalid activation key.","Неверный ключ активации."
"The user is already active.","Этот пользователь уже активирован."
"The site is already active.","Этот сайт уже активирован."
"Could not create user","Не удалось создать пользователя"
"That username is already activated.","Это имя пользователя уже активировано."
"Could not create site.","Не удалось создать сайт."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Новый сайт: %s\nURL: %s\nIP: %s\n\nОтключить эти уведомления: %s"
