"New password","Nytt lösenord"
"username and email used","användarnamn och e-postadress använt"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","E-postadressen används redan. Kolla din inkorg för aktiveringsmail. Du kan registrera dig med e-postadressen igen inom några dagar om ingen aktivering sker."
"Please enter a site name.","Ange ett webbplatsnamn."
"That name is not allowed.","Det namnet är inte tillåtet."
"Site name must be at least 4 characters.","Webbplatsnamn måste bestå av minst 4 tecken."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Användarnamn kan inte innehålla tecknet &#8221;_&#8221;!"
"Sorry, you may not use that site name.","Tyvärr, det webbplatsnamnet är inte tillåtet."
"Sorry, site names must have letters too!","Webbplatsnamn måste innehålla bokstäver också!"
"Please enter a site title.","Ange en webbplatstitel."
"Sorry, that site already exists!","Den webbplatsen finns redan registrerat!"
"Sorry, that site is reserved!","Tyvärr, den webbplatsen är reserverad!"
"That site is currently reserved but may be available in a couple days.","Den webbplatsen är för närvarande reserverad, men kan bli tillgänglig igen om några dagar."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","För att aktivera din webbplats, var vänlig besök följande länk:\n\n%s\n\nEfter aktiveringen så kommer du att få *ytterligare ett mail* med dina inloggningsuppgifter.\n\nEfter aktiveringen så kan du besöka din webbplats här:\n\n%s"
"[%s] Activate %s","[%s] Aktivera %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","För att aktivera din användare, klicka på följande länk:\n\n%s\n\nNär du aktiverat din användare så kommer du att få *ytterligare ett mail* med dina inloggningsuppgifter."
"Invalid activation key.","Ogiltig aktiveringsnyckel."
"The user is already active.","Användaren är redan aktiv."
"The site is already active.","Webbplatsen är redan aktiverad."
"Could not create user","Kunde inte skapa användare"
"That username is already activated.","Det användarnamnet är redan aktiverat."
"Could not create site.","Kunde inte skapa webbplats."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Ny webbplats: %s\nURL: %s\nFrån IP: %s\n\nInaktivera dessa notifikationer: %s"
"New Site Registration: %s","Ny webbplatsregistrering: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Ny användare: %s\nFrån IP: %s\n\nInaktivera dessa notifikationer: %s"
"New User Registration: %s","Ny användarregistrering: %s"
"Already Installed","Redan installerat"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Du verkar redan ha installerat WordPress. För att installera om, rensa tabellerna i din databas först."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Kära användare,\n\nDin nya webbplats 'SITE_NAME' har skapats på:\nBLOG_URL\n\nDu kan logga in som administratör med följande information:\nAnvändarnamn: USERNAME\nLösenord: PASSWORD\nLogga in här: BLOG_URLwp-login.php\n\nHoppas du ska trivas med din nya webbplats. Tack!\n\n--Teamet @ SITE_NAME"
"New %s Site: %s","Ny %s webbplats: %s"
"New %s User: %s","Ny %s användare: %s"
"This file is too big. Files must be less than %d KB in size.","Filen är för stor. Filer måste vara mindre än %d Kb."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Ett fel uppstod när du skulle läggas till på denna webbplats. Tillbaka till <a href=\"%s\">startsidan</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Du har lagts till på denna webbplats. Besök gärna <a href=\"%s\">startsidan</a> eller <a href=\"%s\">logga in</a> med ditt användarnamn och lösenord."
"WordPress &rsaquo; Success","WordPress &rsaquo; Klart"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Kära användare,\n\nDitt nya konto har skapats.\n\nDu kan logga in med följande uppgifter:\nAnvändarnamn: USERNAME\nLösenord: PASSWORD\nLOGINLINK\n\nTack!\n\n--Teamet @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Användaren har valt att avsluta sitt konto därav finns inget innehåll kvar."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Den här webbplatsen har inte blivit aktiverad än. Om du har problem med aktiveringen av din webbplats, var vänlig kontakta <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Den webbplatsen har blivit arkiverad eller avstängd."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Den webbplatsen finns inte. Var vänlig försök med <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Ingen webbplats definierad för denna host. Om du äger den här webbplatsen, se dokumentationen  <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> för vidare assistans."
"If your site does not display, please contact the owner of this network.","Om din webbplats inte visas, var vänlig kontakta ägaren av det här nätverket."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Om du är ägaren av det här nätverket, vänligen kontrollera att MySQL är igång och fungerar som det ska och att inga tabeller innehåller fel."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Databastabeller saknas.</strong> Det betyder att MySQL inte körs, WordPress har inte installerats korrekt eller så har någon raderat <code>%s</code>. Du bör verkligen kontrollera din databas nu."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Kunde inte hitta webbplatsen <code>%s</code>.</strong> Sökte efter tabell <code>%s</code> i databas <code>%s</code>. Är det korrekt?"
"What do I do now?","Vad gör jag nu?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Läs dokumentationen <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a>. Några av dessa riktlinjer kanske kan hjälpa dig att lista ut vad som gick fel."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Om du fortfarande får upp det här meddelandet, kontrollera så att databasen innehåller följande tabeller:"
"Multisite only works without the port number in the URL.","Multiwebbplatser fungerar endast utan portnummer i URLen."
"Database tables are missing.","Databastabeller saknas."
"No site by that name on this system.","Ingen webbplats med det namnet finns i det här systemet."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Menynamnet <strong>%s</strong> kolliderar med ett redan befintligt namn, var vänlig försök med ett annat namn."
"The given object ID is not that of a menu item.","Objekt ID angivet är inte det för ett menyobjekt."
"Custom","Anpassad"
"%s is a protected WP option and may not be modified","%s är en skyddad WP-inställning och kan inte ändras"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>FEL</strong>: Felaktigt användarnamn eller e-postadress."
"You should specify a nonce action to be verified by using the first parameter.","Du bör ange en &#8217;nonce&#8217; åtgärd som skall verifieras med hjälp av den första parametern."
"New comment on your post \"%s\"","En ny kommentar till ditt inlägg \"%s\""
"Author : %s (IP: %s , %s)","Författare: %s (IP: %s, %s)"
"E-mail : %s","E-post: %s"
"Comment:","Kommentar:"
"You can see all comments on this post here:","Alla kommentarer till det här inlägget:"
"[%s] Comment: \"%s\"","[%s] Kommentar: \"%s\""
"New trackback on your post \"%s\"","En ny trackback till ditt inlägg \\\"%s\\\""
"Website: %s (IP: %s , %s)","Webbplats: %s (IP: %s, %s)"
"Excerpt:","Utdrag:"
"You can see all trackbacks on this post here:","Alla trackbacks till det här inlägget:"
"New pingback on your post \"%s\"","En ny ping till ditt inlägg \"%s\""
"You can see all pingbacks on this post here:","Alla pingbackar till det här inlägget:"
"Permalink: %s","Permalänk: %s"
"Trash it: %s","Kasta i papperskorgen: %s"
"Delete it: %s","Radera den: %s"
"Spam it: %s","Märk som skräp: %s"
"A new trackback on the post \"%s\" is waiting for your approval","En ny trackback till inlägget \"%s\" väntar på ditt godkännande "
"Website : %s (IP: %s , %s)","Webbplats : %s (IP: %s , %s)"
"Trackback excerpt:","Trackback utdrag:"
"A new pingback on the post \"%s\" is waiting for your approval","En ny pingning till inlägget \"%s\" inväntar din granskning"
"Pingback excerpt:","Pingback utdrag:"
"A new comment on the post \"%s\" is waiting for your approval","En ny kommentar till inlägget \"%s\" inväntar din granskning"
"Approve it: %s","Godkänn den: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","För närvarande väntar %s kommentar på ditt godkännande. Vänligen besök granskningspanelen:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","För närvarande väntar %s kommentarer på ditt godkännande. Vänligen besök granskningspanelen:"
"[%s] Please moderate: \"%s\"","[%s] Vänligen moderera: \"%s\""
"Password Lost and Changed for user: %s","Användaren %s har glömt sitt lösenord. Lösenordet har ändrats."
"[%s] Password Lost/Changed","[%s] Lösenordet glömt/ändrat"
"New user registration on your site %s:","En ny användare har registrerat sig på din webbplats %s:"
"Username: %s","Användarnamn: %s"
"E-mail: %s","E-post: %s"
"[%s] New User Registration","[%s] Registrering av ny användare"
"Password: %s","Lösenord: %s"
"[%s] Your username and password","[%s] Ditt användarnamn och lösenord"
"Only a static class method or function can be used in an uninstall hook.","Endast en statisk klassmetod eller funktion kan användas för avinstallations-hook."
"Protected: %s","Lösenordsskyddad: %s"
"Private: %s","Privat: %s"
"(more...)","(Läs mer...)"
"There is no excerpt because this is a protected post.","Det finns inget utdrag eftersom det här är ett skyddat inlägg."
"Pages:","Sidor:"
"Next page","Nästa sida"
"Previous page","Föregående sida"
"Home","Hem"
"This post is password protected. To view it please enter your password below:","Det här inlägget är lösenordsskyddat. För att se det måste du ange ditt lösenord nedan:"
"Submit","Skicka"
"j F, Y @ G:i","j F, Y @ H:i"
"%s [Autosave]","%s [Autosparat]"
"%s [Current Revision]","%s [Nuvarande version]"
"%s by %s","%s av %s"
"Restore","Återställ"
"Compare Revisions","Jämför versioner"
"Old","Gammal"
"New","Nytt"
"Date Created","Datum skapat"
"Actions","Åtgärder"
"Post","Inlägg"
"Page","Sida"
"Add New","Lägg till ny"
"Edit Media","Redigera media"
"View Attachment Page","Visa sidan för bilaga"
"Revisions","Version"
"Revision","Version"
"Navigation Menu Items","Menyval navigation"
