"New password","Nieuw wachtwoord"
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Helaas, gebruikersnamen met het karakter &#8220;_&#8221; zijn niet toegestaan!"
"Sorry, usernames must have letters too!","Helaas, gebruikersnamen moeten ook letters bevatten!"
"Please enter a valid email address.","Graag een geldig e-mailadres opgeven."
"Sorry, that email address is not allowed!","Helaas, dit e-mailadres is niet toegestaan!"
"Sorry, that username already exists!","Helaas, deze gebruikersnaam bestaat al!"
"Sorry, that email address is already used!","Helaas, dit e-mailadres is al in gebruik!"
"That username is currently reserved but may be available in a couple of days.","Deze gebruikersnaam is momenteel gereserveerd, maar kan in een paar dagen beschikbaar komen."
"username and email used","gebruikersnaam en e-mail gebruikt"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Dit e-mailadres is al in gebruik. Controleer je mailbox voor een activatiebericht. Het zal vrijgegeven worden in een paar dagen als je niets doet."
"Please enter a site name.","Voer een websitenaam in."
"That name is not allowed.","Deze naam is niet toegestaan."
"Site name must be at least 4 characters.","Websitenaam moet minimaal 4 tekens zijn."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Helaas, websitenamen mogen geen &#8220;_&#8221; karakters bevatten!"
"Sorry, you may not use that site name.","Helaas, dit mag niet worden gebruikt als websitenaam."
"Sorry, site names must have letters too!","Helaas, sitenamen moeten ook letters bevatten!"
"Please enter a site title.","Graag een websitetitel invoeren."
"Sorry, that site already exists!","Helaas, deze website bestaat al!"
"Sorry, that site is reserved!","Helaas, deze website is gereserveerd!"
"That site is currently reserved but may be available in a couple days.","Deze site is momenteel gereserveerd, maar komt wellicht binnenkort beschikbaar."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Klik op de volgende link om je site te activeren:\n\n%s\n\nNa je activatie ontvang je een *andere e-mail* met je inlog gegevens.\n\nNa je activatie, kun je de site hier bezoeken:\n\n%s"
"[%s] Activate %s","[%s] %s activeren"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Om gebruikers te activeren, klik op de volgende link:\n\n%s\n\nNa activeren wordt *opnieuw een e-mail* verstuurd met de inloggegevens."
"Invalid activation key.","Ongeldige activatiesleutel."
"The user is already active.","De gebruiker is al geactiveerd."
"The site is already active.","Deze website is al actief."
"Could not create user","Gebruiker kon niet worden aangemaakt"
"That username is already activated.","Deze gebruikersnaam is al geactiveerd."
"Could not create site.","Niet mogelijk om website aan te maken."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nieuwe website %s\nURL: %s\nExtern IP-adres: %s\n\nDeze meldingen uitschakelen: %s"
"New Site Registration: %s","Nieuwe website registratie: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nieuwe gebruiker: %s\nExtern IP-adres: %s\n\nDeze meldingen uitschakelen: %s"
"New User Registration: %s","Nieuwe gebruikersregistratie: %s"
"Already Installed","Reeds ge&#239;nstalleerd"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Het lijkt erop dat WordPress al is ge&#239;nstalleerd. Wis je oude database tabellen om WordPress opnieuw te installeren."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Beste gebruiker,\n\nje nieuwe SITE_NAME website is met succes ge&#239;nstalleerd:\nBLOG_URL\n\nJe kunt inloggen met de volgende gegevens:\nGebruikersnaam: USERNAME\nWachtwoord: PASSWORD\nJe kunt hier inloggen: BLOG_URLwp-login.php\n\nVeel plezier met je nieuwe website. Bedankt!\n\n--Het Team van @ SITE_NAME"
"New %s Site: %s","Nieuw %s website: %s"
"New %s User: %s","Nieuwe %s gebruikerr: %s"
"This file is too big. Files must be less than %d KB in size.","Dit bestand is te groot. Bestanden moeten kleiner als %d KB zijn."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Er is een fout opgetreden bij het toevoegen van jouw op deze site. Ga terug naar de <a href=\"%s\">startpagina</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Je bent toegevoegd aan deze site. Bezoek de <a href=\"%s\">homepagina</a> of <a href=\"%s\">log in</a> met je gebruikersnaam en wachtwoord."
"WordPress &rsaquo; Success","WordPress &rsaquo; succes"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Beste Gebruiker,\n\nJe nieuwe account is aangemaakt.\n\nJe kan inloggen met de volgende informatie:\nGebruikersnaam: USERNAME\nWachtwoord: PASSWORD\nLOGINLINK\n\nBedankt!\n\nHet team van @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Deze gebruiker heeft zijn account opgeheven, en de inhoud is niet langer beschikbaar."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Deze website is nog niet geactiveerd. Als je problemen ondervindt bij het activeren van de website, neem dan contact op met <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Deze website is gearchiveerd of buiten werking gesteld."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Deze website bestaat niet. Probeer <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Er is geen site gedefinieerd bij deze host. Als je de eigenaar bent, bezoek <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a>(Engels) voor hulp."
"If your site does not display, please contact the owner of this network.","Wanneer je website niet toont, neem dan contact op met de eigenaar van dit netwerk."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Als je de eigenaar van dit netwerk bent, controleer of MySQL correct werkt en alle tabellen zonder fouten zijn."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Databasetabellen niet aanwezig.</strong> Dit betekent dat MySQL niet draait, WordPress niet goed is ge&#239;nstalleerd of dat iemand <code>%s</code> heeft verwijderd. Het is verstandig om even naar de database te kijken."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Kon de website <code>%s</code> niet vinden.</strong> Zocht naar tabel <code>%s</code> in database <code>%s</code>. Klopt dat?"
"What do I do now?","Wat weet ik nu?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Lees de <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug rapport</a> pagina(Engels). Enkele van de richtlijnen kunnen je helpen uit te vinden wat er mis gegaan is."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Wanneer je deze melding nog steeds krijgt, controleer dan of jouw database de volgende tabellen bevat:"
"Multisite only works without the port number in the URL.","Multisite werkt alleen zonder poortnummer in de URL."
"Database tables are missing.","De database tabellen ontbreken."
"No site by that name on this system.","Geen website met deze naam bekend in ons systeem."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","De menunaam <strong>%s</strong> conflicteert met een andere menunaam. Probeer een andere naam. "
"The given object ID is not that of a menu item.","Het opgegeven object ID is niet van een menu-item."
"Custom","Aangepast"
"%s is a protected WP option and may not be modified","%s is een beveiligde WP-optie en kan niet worden gewijzigd"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>MISLUKT</strong>: Ongeldige gebruikersnaam of e-mailadres."
"You should specify a nonce action to be verified by using the first parameter.","Je moet een nonce actie specificeren die kan worden geverifieerd door gebruik te maken van de eerste parameter."
"New comment on your post \"%s\"","Nieuwe reactie op je bericht \"%s\""
"Author : %s (IP: %s , %s)","Auteur : %s (IP: %s , %s)"
"Whois  : http://whois.arin.net/rest/ip/%s","Whois : http://whois.arin.net/rest/ip/%s"
"Comment:","Reactie: "
"You can see all comments on this post here:","Je kunt alle reacties op dit bericht hier bekijken:"
"[%s] Comment: \"%s\"","[%s] Reactie: \"%s\""
"New trackback on your post \"%s\"","Nieuwe trackback op je bericht \"%s\""
"Website: %s (IP: %s , %s)","Site: %s (IP: %s , %s)"
"Excerpt:","Samenvatting: "
"You can see all trackbacks on this post here:","Je kunt alle trackbacks bij dit bericht hier bekijken:"
"New pingback on your post \"%s\"","Nieuwe pingback op je bericht \"%s\""
"You can see all pingbacks on this post here:","Je kunt alle pingbacks op dit bericht hier bekijken: "
"Trash it: %s","Naar de prullenbak: %s"
"Delete it: %s","Verwijderen: %s"
"Spam it: %s","Markeren als spam: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Een nieuwe trackback op het bericht \"%s\", wacht op je toelating"
"Website : %s (IP: %s , %s)","Site : %s (IP: %s , %s)"
"Trackback excerpt:","Trackback samenvatting:"
"A new pingback on the post \"%s\" is waiting for your approval","Een nieuwe pingback op het bericht \"%s\" wacht op toelating"
"Pingback excerpt:","Pingback samenvatting:"
"A new comment on the post \"%s\" is waiting for your approval","Een nieuwe reactie op het bericht \"%s\" wacht op toelating"
"Approve it: %s","Toelaten: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Er wacht %s reactie op goedkeuring. Ga naar het beheerscherm:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Er wachten %s reacties op toelating. Ga naar het moderatie scherm:"
"[%s] Please moderate: \"%s\"","[%s] Modereer: \"%s\""
"Password Lost and Changed for user: %s","Wachtwoord kwijt en gewijzigd voor gebruiker: %s"
"[%s] Password Lost/Changed","[%s] Wachtwoord kwijt/gewijzigd"
"New user registration on your site %s:","Nieuwe gebruiker geregistreerd op je site %s:"
"Username: %s","Gebruikersnaam: %s"
"E-mail: %s","E-mailadres: %s"
"[%s] New User Registration","[%s] Registratie nieuwe gebruiker"
"Password: %s","Wachtwoord: %s"
"[%s] Your username and password","[%s] Je gebruikersnaam en wachtwoord"
"Only a static class method or function can be used in an uninstall hook.","Alleen een statische classmethode of functie kan gebruikt worden in een de&#239;nstalleer hook."
"Protected: %s","Beveiligd: %s"
"Private: %s","Priv&#233;: %s"
"(more...)","(meer...)"
"There is no excerpt because this is a protected post.","Er is geen samenvatting omdat dit bericht is beveiligd."
"Pages:","Pagina&#39;s:"
"Next page","Volgende pagina"
"Previous page","Vorige pagina"
"This post is password protected. To view it please enter your password below:","Dit bericht is beveiligd met een wachtwoord. Geef je wachtwoord om het te lezen:"
"Submit","Vastleggen"
"j F, Y @ G:i","j F Y @ H:i"
"%s [Autosave]","%s [Automatisch opgeslagen]"
"%s [Current Revision]","%s [Huidige revisie]"
"%s by %s","%s door %s"
"Restore","Herstellen"
"Compare Revisions","Revisies vergelijken"
"Old","Oud"
"New","Nieuw"
"Date Created","Aangemaakt op"
"Actions","Acties"
"Post","Bericht"
"Page","Pagina"
"Add New","Nieuwe toevoegen"
"Edit Media","Media bewerken"
"View Attachment Page","Bijlagepagina tonen"
"Revisions","Revisies"
"Revision","Revisies"
"Navigation Menu Items","Navigatiemenu onderdelen"
"Navigation Menu Item","Navigatiemenu onderdeel"
"Published","Gepubliceerd"
"Published <span class=\"count\">(%s)</span>","Gepubliceerd <span class=\"count\">(%s)</span>"
"Scheduled","Gepland"
"Scheduled <span class=\"count\">(%s)</span>","Gepland <span class=\"count\">(%s)</span>"
"Draft","Concept"
"Draft <span class=\"count\">(%s)</span>","Concept <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Concepten <span class=\"count\">(%s)</span>"
"Pending","Wachtend"
"Pending <span class=\"count\">(%s)</span>","Wachtend <span class=\"count\">(%s)</span>"
