"New password","Nueva contraseña"
"Please enter a valid email address.","Por favor, introduce una dirección de correo válida."
"Sorry, that email address is not allowed!","Disculpa, este correo electrónico no está permitido"
"Sorry, that username already exists!","Disculpa, este usuario ya existe."
"Sorry, that email address is already used!","Disculpa, este correo electrónico ya está en uso."
"That username is currently reserved but may be available in a couple of days.","Este nombre de usuario está reservado, pero podría estar libre en un par de días"
"username and email used","nombre de usuario y correo electrónico en uso"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Este correo electrónico ya ha sido usado. Por favor, comprueba tu bandeja de entrada. Podría estar libre en un par de días si no haces nada."
"Please enter a site name.","Por favor, introduce un nombre para el sitio."
"That name is not allowed.","Ese nombre no está permitido."
"Site name must be at least 4 characters.","El nombre del sitio debe tener al menos 4 caracteres."
"Sorry, site names may not contain the character &#8220;_&#8221;!","¡Lo sentimos, el nombre del sitio no puede contener el caracter &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Lo sentimos, no puedes utilizar este nombre para el sitio."
"Sorry, site names must have letters too!","Disculpa, el nombre del sitio, también debe contener letras."
"Please enter a site title.","Por favor, introduce el título del sitio."
"Sorry, that site already exists!","Disculpa, este sitio ya existe."
"Sorry, that site is reserved!","Disculpa, este nombre de sitio está reservado"
"That site is currently reserved but may be available in a couple days.","Este nombre de sitio está reservado, pero puede estar libre en un par de días."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Para activar tu sitio haz clic en el siguiente enlace:\n\n%s\n\nDespués de activarlo recibirás *otro correo electrónico* con tus datos de acceso.\n\nDespués de activarlo, podrás visitar tu sitio aquí:\n\n%s"
"[%s] Activate %s","[%s] Activar %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Para activar tu usuario, por favor haz click en el siguiente enlace:\n\n%s\n\nDespués de activar, recibirás *otro correo electrónico* con tus credenciales de acceso."
"Invalid activation key.","Clave de activación inválida"
"The user is already active.","El usuario ya esta activo."
"The site is already active.","El sitio ya está activado."
"Could not create user","No podemos crear el usuario"
"That username is already activated.","Este usuario, ya está activado."
"Could not create site.","No se pudo crear el sitio."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nuevo Sitio: %s\nURL: %s\nIP remota: %s\n\nDesactivar las notificaciones: %s"
"New Site Registration: %s","Nuevo sitio registrado: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nuevo Usuario: %s\nIP Remota: %s\n\nDesactivar las notificaciones: %s"
"New User Registration: %s","Nuevo registro de usuario: %s"
"Already Installed","Ya instalado"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Parece que has instalado WordPress antes. Para volver a instalar borra antes las tablas de la base de datos antigua, por favor."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Estimado usuario:\n\nTu nuevo sitio SITE_NAME se ha creado en:\nBLOG_URL\n\nPuedes acceder a la administración de la cuenta con la siguiente información:\nNombre de usuario: USERNAME\nContraseña: PASSWORD\nAcceda aquí: BLOG_URLwp-login.php\n\nEsperamos que disfrutes de tu nuevo sitio\nGracias\n\n-- El equipo @ SITE_NAME"
"New %s Site: %s","Nuevo sitio en %s: %s"
"New %s User: %s","Nuevo %s usuario: %s"
"This file is too big. Files must be less than %d KB in size.","Este archivo es demasiado grande. Los archivos deben tener un tamaño inferior a %d KB."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Hubo un error añadiéndote a este sitio. Volver a la <a href=\"%s\">página de inicio</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Has sido añadido a este sitio. Por favor, visita la <a href=\"%s\">página de inicio</a> o <a href=\"%s\">accede</a> utilizando tu nombre de usuario y contraseña."
"WordPress &rsaquo; Success","WordPress &rsaquo; Conseguido"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Apreciado usuario,\n\nTu nueva cuenta está configurada.\n\nPuedes identificarte con la siguiente información:\nUsuario: USERNAME\nClave: PASSWORD\nLOGINLINK\n\n¡Gracias!\n\n--El equipo de  SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Este usuario ha decidido eliminar su cuenta y ya no están los contenidos."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Este sitio aún no ha sido activado. Si estas teniendo problemas en el proceso de activación, por favor contacta con <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Este sitio ha sido archivado o suspendido."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Este sitio no existe. Por favor, prueba <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","No se ha definido un sitio para este servidor. Si eres el propietario de este sitio, por favor, consulta <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Arreglando una red de WordPress</a> para tener ayuda."
"If your site does not display, please contact the owner of this network.","Si tu sitio no se muestra contacta con el propietario de esta red."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Si eres el propietario de esta red comprueba que MySQL se está ejecutando adecuadamente y que niguna de las tablas tiene errores."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Se han perdido las tablas de la base de datos.</strong> Esto quiere decir que MySQL no está funcionando, WordPress no ha sido instalado correctamente, o alguien ha eliminado <code>%s</code>. Deberías revisar tu base de datos ahora mismo."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>No podemos encontrar el sitio <code>%s</code>.</strong> Buscamos la tabla <code>%s</code>en la base de datos <code>%s</code>. ¿Es correcto?"
"What do I do now?","¿Ahora qué hago?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Lee la <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">página de errores</a>. Algunas de las guías que hay ahí pueden ayudarte a hacerte una idea sobre qué ha ido mal."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Si todavía estás atascado con este mensaje, comprueba que tu base de datos contiene las siguientes tablas:"
"Multisite only works without the port number in the URL.","El multisitio sólo funciona sin el número del puerto en la URL."
"Database tables are missing.","No se encuentran tablas de la base de datos."
"No site by that name on this system.","No existe ningún sitio en el sistema con este nombre."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","El nombre de menú <strong>%s</strong> está creando un conflicto con otro nombre de menú. Por favor, selecciona otro nombre."
"The given object ID is not that of a menu item.","El ID de objeto dado no es de un objeto de menú."
"Custom","Personalizado"
"%s is a protected WP option and may not be modified","%s es una opción protegida de WP y no puede modificarse"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>ERROR</strong>: El nombre de usuario y/o la contraseña no son correctos."
"You should specify a nonce action to be verified by using the first parameter.","Debes especificar una acción \"nonce\" a verificar mediante el primer parámetro."
"New comment on your post \"%s\"","Nuevo comentario a tu entrada \"%s\""
"Author : %s (IP: %s , %s)","Autor : %s (IP: %s , %s)"
"E-mail : %s","Correo electrónico : %s"
"Comment:","Comentario:"
"You can see all comments on this post here:","Puedes ver todos los comentarios de esta entrada aquí:"
"[%s] Comment: \"%s\"","[%s] Comentario: \"%s\""
"New trackback on your post \"%s\"","Nuevo trackback a tu entrada \"%s\""
"Website: %s (IP: %s , %s)","Sitio web: %s (IP: %s , %s)"
"Excerpt:","Extracto:"
"You can see all trackbacks on this post here:","Puedes ver todos los trackbacks de esta entrada aquí:"
"New pingback on your post \"%s\"","Nuevo pingback en tu entrada \"%s\""
"You can see all pingbacks on this post here:","Puede ver todos los pingback de esta entrada aquí:"
"Permalink: %s","Enlace permanente: %s"
"Trash it: %s","Enviar a la papelera: %s"
"Delete it: %s","Borrarlo: %s"
"Spam it: %s","Marcarlo como spam: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Un nuevo trackback a la entrada \"%s\" está esperando tu aprobación"
"Website : %s (IP: %s , %s)","Sitio web : %s (IP: %s , %s)"
"Trackback excerpt:","Extracto del trackback:"
"A new pingback on the post \"%s\" is waiting for your approval","Un nuevo pingback a la entada \"%s\" está esperando tu aprobación"
"Pingback excerpt:","Extracto del pingback:"
"A new comment on the post \"%s\" is waiting for your approval","Un nuevo comentario a la entrada \"%s\" está esperando tu aprobación"
"Approve it: %s","Aprobarlo: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Actualmente hay %s comentario en espera de aprobación. Por favor visita el panel de moderación:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Actualmente hay %s comentarios en espera de aprobación. Por favor visita el panel de moderación:"
"[%s] Please moderate: \"%s\"","[%s] Pendientes de moderación: \"%s\""
"Password Lost and Changed for user: %s","Contraseña perdida y cambiada para el usuario: %s"
