"New password","Ny adgangskode"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Denne e-mail adresse er allerede blevet brugt. Tjek venligst din indbakke for en aktivering e-mail. Det vil være til rådighed om et par dage, hvis du ikke gør noget."
"Please enter a site name.","Angiv navn til websted."
"That name is not allowed.","Navnet er ikke tilladt."
"Site name must be at least 4 characters.","Webstedets navn skal være på mindst 4 tegn"
"Sorry, site names may not contain the character &#8220;_&#8221;!","Beklager, navne på websteder må ikke indholde tegnene &#8220;_&#8221;!"
"Sorry, you may not use that site name.","Beklager, men du må ikke bruge det navn til dit websted."
"Sorry, site names must have letters too!","Beklager, navne på websteder skal også indeholde bogstaver!"
"Please enter a site title.","Angiv sitets titel."
"Sorry, that site already exists!","Beklager, men det websted findes allerede!"
"Sorry, that site is reserved!","Beklager, men det websted er optaget!"
"That site is currently reserved but may be available in a couple days.","Dette websted (navn) er optaget for øjeblikket, men bliver måske tilgængeligt i løbet af et par dage."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","For at aktivere din blog skal du klikke på det følgende link:\n\n%s\n\nNår du har aktiveret din blog, vil du få *endnu en e-mail* med dit login..\n\nNår du har aktiveret dit websted, kan du besøge det her:\n\n%s"
"[%s] Activate %s","[%s] Aktiver %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","For at aktivere din bruger bedes du følge dette link:\n\n%s\n\nNår din bruger er aktiveret, vil du modtage en email med dit login."
"Invalid activation key.","Ugyldig aktiveringsnøgle"
"The user is already active.","Brugeren er allerede aktiv."
"The site is already active.","Webstedet er allerede aktiveret."
"Could not create user","Bruger kunne ikke oprettes"
"That username is already activated.","Dette brugernavn er allerede aktiveret"
"Could not create site.","Kunne ikke oprette websted."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nyt site: %s\nURL: %s\nRegistreret via IP: %s\n\nFjern disse notifikationer: %s"
"New Site Registration: %s","Ny oprettelse af websted: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Ny Bruger: %s\nRegistreret via IP: %s\n\nFjern disse notifikationer: %s"
"New User Registration: %s","Ny brugerregistrering: %s"
"Already Installed","Allerede installeret"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Det er ud til at WordPress allerede er installeret. For at geninstallere bedes du tømme databasen for den eksisterende installation først."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Kære bruger,\n\nDit nye SITE_NAME websted er blevet oprettet uden problemer på:\nBLOG_URL\n\nDu kan logge på administratorkontoen med følgende oplysninger:\nBrugernavn: USERNAME\nKodeord: PASSWORD\nLog ind her: BLOG_URLwp-login.php\n\nVi håber, at du bliver glad for dit nye websted. Tak!\n\n--Holdet @ SITE_NAME"
"New %s Site: %s","Nyt %s websted: %s"
"New %s User: %s","Ny %s bruger: %s"
"This file is too big. Files must be less than %d KB in size.","Denne fil er for stor. Filer skal have en størrelse på mindre end %d KB."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","En fejl skete i forsøg på at tilføje dig til dette websted. Gå tilbage til <a href=\"%s\">forsiden</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Du er blevet tilføjet til dette websted. Besøg venligst <a href=\"%s\">webstedet</a> eller <a href=\"%s\">log ind</a> med dit brugernavn og kodeord."
"WordPress &rsaquo; Success","WordPress &rsaquo; Succes"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Kære bruger,&#13;&#13;\n\nDin nye konto er oprettet.&#13;&#13;\n\nDu kan nu logge ind med følgende oplysninger:&#13;\nBrugernavn: BRUGERNAVN&#13;\nKodeord: KODEORD&#13;\nLOGINLINK&#13;&#13;\nTak!&#13;&#13;\n\nHoldet bag SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Denne bruger har valgt at slette sin konto, og indholdet vil ikke længere være tilgængeligt."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Dit websted er endnu ikke blevet aktiveret. Hvis du har problemer med at aktivere dit site, så kontakt venligst <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Dette websted er blevet arkiveret eller suspenderet."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Dette websted eksisterer ikke. Prøv venligst <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Der er ikke defineret noget websted på denne vært. Hvis du er ejer af dette websted, så læs venligst siden <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Fejlsøgning på WordPress Netværk</a>."
"If your site does not display, please contact the owner of this network.","Hvis ikke du kan se webstedet, så kontakt ejeren af dette netværk."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Hvis du ejer dette netværk, så tjek om MySQL kører som det skal, og at der ikke er fejl i tabellerne."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>Databasetabeller mangler.</strong> Dette betyder, at MySQL ikke kører, at WordPress ikke blev installeret ordentligt, eller der er en, der har slettet <code>%s</code>. Du bør faktisk kigge på din database med det samme."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Kunne ikke finde webstedet <code>%s</code>.</strong> Søgte efter tabellen <code>%s</code> i databasen <code>%s</code>. Er det korrekt?"
"What do I do now?","Hvad gør jeg nu?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Læs <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">debugging-siden</a>. Oplysningerne på siden kan muligvis hjælpe dig til at finde ud af, hvad der er gået galt."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Hvis du stadigvæk får denne besked, så tjek, at din database indeholder de følgende tabeller:"
"Multisite only works without the port number in the URL.","Multisite virker kun, hvis der ikke er portnumre i URL&#39;en."
"Database tables are missing.","Databasetabeller mangler."
"No site by that name on this system.","Der findes intet websted med dette navn i dette netværk."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Navnet på menuen <strong>%s</strong> er i konflikt med et eksisterende menunavn. Prøv et andet."
"The given object ID is not that of a menu item.","Det angivne objekt-ID hører ikke til et menuelement."
"Custom","Brugerdefineret"
"%s is a protected WP option and may not be modified","%s er en beskyttet WP-indstilling, som ikke m&#229; &#230;ndres"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>FEJL</strong>: Ugyldigt brugernavn eller forkert adgangskode"
"You should specify a nonce action to be verified by using the first parameter.","Du skal angive en nonce handling, der skal verificeres gennem den første parameter."
"New comment on your post \"%s\"","Ny kommentar til dit indlæg \"%s\""
"Author : %s (IP: %s , %s)","Forfatter: %s (IP: %s , %s)"
"E-mail : %s","E-mail: %s"
"Whois  : http://whois.arin.net/rest/ip/%s","Whois: http://whois.arin.net/rest/ip/%s"
"Comment:","Kommentar:"
"You can see all comments on this post here:","Du kan se alle kommentarer til dette indlæg her:"
"[%s] Comment: \"%s\"","[%s] Kommentar: \"%s\""
"New trackback on your post \"%s\"","Nyt trackback til dit indlæg \"%s\""
"Excerpt:","Uddrag: "
"You can see all trackbacks on this post here:","Du kan se alle trackbacks til dette indlæg her: "
"New pingback on your post \"%s\"","Nyt Pingback til dit indlæg \"%s\""
"You can see all pingbacks on this post here:","Du kan se alle pingbacks til dette indlæg her: "
"Trash it: %s","Smid i papirkurv: %s"
"Delete it: %s","Slet den: %s"
"Spam it: %s","Spam den: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Et nyt trackback til indlægget \"%s\" venter på din godkendelse"
"Website : %s (IP: %s , %s)","Websted: %s (IP: %s , %s)"
"Trackback excerpt:","Trackback uddrag:"
"A new pingback on the post \"%s\" is waiting for your approval","Et nyt pingback til indlægget \"%s\" venter på din godkendelse"
"Pingback excerpt:","Pingback uddrag:"
"A new comment on the post \"%s\" is waiting for your approval","En ny kommentar til indlægget \"%s\" venter på din godkendelse"
"Approve it: %s","Godkend den: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","Der er i øjeblikket %s kommentar, der venter på godkendelse. Gå til bedømmelsessiden:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","Der er i øjeblikket %s kommentarer, der venter på godkendelse. Gå til bedømmelsessiden:"
"[%s] Please moderate: \"%s\"","[%s] Bedøm venligst: \"%s\""
"Password Lost and Changed for user: %s","Kodeord mistet og ændret for brugeren: %s"
"[%s] Password Lost/Changed","[%s] Kodeord tabt/ændret"
"New user registration on your site %s:","Ny brugerregistrering på dit websted %s:"
"Username: %s","Brugernavn: %s"
"[%s] New User Registration","[%s] Ny brugerregistrering"
"Password: %s","Kodeord: %s"
"[%s] Your username and password","[%s] Dit brugernavn og kodeord"
"Only a static class method or function can be used in an uninstall hook.","Kun en statisk klasse metode eller funktion kan bruges i en afinstallations krog."
"Protected: %s","Beskyttet: %s"
"Private: %s","Privat: %s"
"(more...)","(mere...)"
"There is no excerpt because this is a protected post.","Der er intet uddrag, da dette er et beskyttet indl&#230;g."
"Pages:","Sider:"
"Next page","N&#230;ste side"
"Previous page","Tidligere side"
"Home","Forside"
"This post is password protected. To view it please enter your password below:","Dette indl&#230;g er kodeordsbeskyttet. For at se det skal du indtaste dit kodeord nedenunder:"
"Submit","Send"
"j F, Y @ G:i","j. F Y @ H:i"
"%s [Autosave]","%s [Autogem]"
"%s [Current Revision]","%s [Nuv&#230;rende revision]"
"%s by %s","%s af %s"
"Restore","Genskab"
"Compare Revisions","Sammenlign revisioner"
"Old","Gammel"
"New","Nyt"
"Date Created","Dato oprettet"
"Actions","Handlinger"
"Post","Indl&#230;g"
"Page","Side"
"Media","Medier"
"Add New","Tilføj ny"
"Edit Media","Rediger medie"
"View Attachment Page","Vis side for vedhæftning"
"Revisions","Ændringer"
"Navigation Menu Items","Navigationsmenupunkter"
"Navigation Menu Item","Navigationsmenupunkt"
"Published","Udgivet"
"Published <span class=\"count\">(%s)</span>","Udgivne: <span class=\"count\">(%s)</span>"
"Scheduled","Planlagt"
"Scheduled <span class=\"count\">(%s)</span>","Planlagt <span class=\"count\">(%s)</span>"
"Draft","Kladde"
"Draft <span class=\"count\">(%s)</span>","Kladde <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Kladder <span class=\"count\">(%s)</span>"
"Pending","Afventer"
"Pending <span class=\"count\">(%s)</span>","Afventer <span class=\"count\">(%s)</span>"
"Private","Privat"
"Private <span class=\"count\">(%s)</span>","Privat <span class=\"count\">(%s)</span>"
"Trash","Papirkurv"
"Trash <span class=\"count\">(%s)</span>","Papirkurv <span class=\"count\">(%s)</span>"
"Invalid post","Ugyldigt indlæg"
"Pending Review","Afventer genneml&#230;sning"
"Post types cannot exceed 20 characters in length","Indholdstypers længde kan ikke overstige 20 tegn"
