"New password","Nové heslo"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Aktuálně používaný internetový prohlížeč bohužel obsahuje některá omezení při nahrávání příliš velkých souborů pomocí nástroje pro současné nahrávání několika souborů najednou. Použijte prosím raději <a href=\"%s\" target=\"%s\">jednoduché nahrávání pomocí prohlížeče</a> pro soubory větší než 100 MB."
"Uploading","Nahrávání"
"Dismiss Errors","Skrýt chyby"
"Error","Chyba "
"Deselect","Odebrat"
"Caption this image&hellip;","Stručný popis obrázku&hellip;"
"Describe this video&hellip;","Stručný popis videa&hellip;"
"Describe this audio file&hellip;","Stručný popis zvukového souboru&hellip;"
"Describe this media file&hellip;","Stručný popis mediálního souboru&hellip;"
"Attachment Details","Podrobné informace o souboru"
"Refresh","Obnovit"
"Delete Permanently","Smazat"
"Alt Text","Alternativní text"
"Description","Popis"
"Edit",""
"Clear","Vymazat pořadí"
"Attachment Display Settings","Nastavení zobrazení souboru"
"Link To","URL odkazu"
"Custom URL","Zadat vlastní adresu"
"Attachment Page","Stránka se zobrazením souboru"
"Media File","Mediální soubor"
"Large","Velký obrázek"
"Gallery Settings","Nastavení galerie"
"Columns","Počet sloupců"
"Random Order","Náhodné pořadí"
"No editor could be selected.","Pro obrázek nemohl být použit žádný editor."
"Allowed Files","Povolené typy souborů"
"Select","Vybrat"
"%d selected","Zvolené soubory: %d"
"Drag and drop to reorder images.","Pokud chcete obrázky libovolně seřadit, stačí je uchopit ukazatelem myši a přesunout."
"Upload Files","Nahrávání souborů"
"Upload Images","Nahrát obrázky"
"Media Library","Knihovna médií"
"Insert Media","Vložit soubor"
"Create a new gallery","Vytvořit galerii"
"&#8592; Return to library","&#8592; Zpět do Knihovny médií"
"All media items","Všechny mediální soubory"
"No items found.","Nebyly nalezeny žádné položky."
"Insert into page","Vložit do stránky"
"Insert into post","Vložit do příspěvku"
"Uploaded to this page","Přiřazeno ke stránce"
"Uploaded to this post","Přiřazeno k příspěvku"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Chystáte se nenávratně smazat vybranou položku.\n  Akci můžete zastavit kliknutím na 'Storno' nebo potvrdit pomocí 'OK'."
"Insert from URL","Vložit z URL adresy"
"Set Featured Image","Náhledový obrázek"
"Set featured image","Zvolit náhledový obrázek"
"Create Gallery","Vytvořit galerii"
"&#8592; Cancel Gallery","&#8592; Zrušit galerii"
"Insert gallery","Vložit galerii"
"Update gallery","Aktualizovat galerii"
"Add to gallery","Přidat do galerie"
"Add to Gallery","Přidat do galerie"
"Reverse order","Seřadit opačně"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Konstanta <code>VHOST</code> už <strong>není podporována</strong> a pro možnost vytváření nových webů v podobě subdomén použijte prosím v souboru wp-config.php konstantu <code>SUBDOMAIN_INSTALL</code> (boolean). Pomocí funkce is_subdomain_install() můžete jednoduše zkontrolovat, zda jsou subdomény pro vytváření webů opravdu povoleny."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Konstanty VHOST a SUBDOMAIN_INSTALL mají definované konfliktní hodnoty.</strong> Nadále už bude používána pro celou síť webů pouze konstanta SUBDOMAIN_INSTALL, která umožňuje nastavit pro vytváření webů subdomény."
"The requested user does not exist.","Požadovaný uživatel neexistuje."
"That user does not exist.","Zvolený uživatel neexistuje."
"<strong>ERROR</strong>: Site URL already taken.","<strong>CHYBA</strong>: URL adresa vytvářeného webu už je obsazena."
"<strong>ERROR</strong>: problem creating site entry.","<strong>CHYBA</strong>: Při vytváření webu se objevil nečekaný problém."
"Only lowercase letters (a-z) and numbers are allowed.","Můžete použít pouze malá písmena bez diakritiky (a-z) a číslice."
"Please enter a username.","Zadejte prosím uživatelské jméno."
"That username is not allowed.","Zvolené uživatelské jméno není povoleno."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Zvolenou emailovou adresu bohužel nemůžete pro registraci použít, protože máme s tímto poskytovatelem emailových služeb špatné zkušenosti a často se objevují problémy s nevyžádanými a nedoručenými emaily. Použijte prosím nějakou jinou emailovou adresu."
"Username must be at least 4 characters.","Uživatelské jméno musí obsahovat alespoň 4 znaky."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Uživatelské jméno nemůže obsahovat symbol podtržítka &#8222;_&#8220;!"
"Sorry, usernames must have letters too!","Uživatelské jméno musí obsahovat také nějaké písmeno!"
"Please enter a valid email address.","Zadejte prosím platnou emailovou adresu."
"Sorry, that email address is not allowed!","Zvolená emailová adresa není bohužel povolena!"
"Sorry, that username already exists!","Zvolené uživatelské jméno už bohužel existuje!"
"Sorry, that email address is already used!","Zvolená emailová adresa už je bohužel registrována!"
"That username is currently reserved but may be available in a couple of days.","Zvolené uživatelské jméno je v současné době rezervováno. Pokud ale nebude během několika dní potvrzeno, tak se automaticky uvolní pro novou registraci."
"username and email used","Uživatelské jméno a emailová adresa jsou už registrovány."
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Zvolená emailová adresa už byla registrována. Zkontrolujte prosím obsah emailové schránky, kde by se měl nacházet aktivační email s dalšími instrukcemi. Pokud nebude emailová adresa během několika dní potvrzena, tak se automaticky uvolní pro novou registraci."
"Please enter a site name.","Zadejte prosím adresu webu."
"That name is not allowed.","Zvolená adresa webu není povolena."
"Site name must be at least 4 characters.","Adresa webu musí obsahovat alespoň 4 znaky."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Adresa webu nemůže obsahovat symbol podtržítka &#8222;_&#8220;!"
"Sorry, you may not use that site name.","Zvolenou adresu webu bohužel nemůžete použít."
"Sorry, site names must have letters too!","Adresa webu musí obsahovat také nějaké písmeno!"
"Please enter a site title.","Zadejte prosím název webu."
"Sorry, that site already exists!","Zvolená adresa webu už bohužel existuje!"
"Sorry, that site is reserved!","Zvolená adresa webu je už bohužel rezervována!"
"That site is currently reserved but may be available in a couple days.","Zvolená adresa webu je v současné době rezervována. Pokud ale nebude během několika dní potvrzena, tak se automaticky uvolní pro novou registraci."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Pokud chcete aktivovat nově registrovaný web, klikněte prosím na následující odkaz:\n\n%s\n\nJakmile bude web úspěšně aktivován, dostanete *další email* s přihlašovacími údaji.\n\nPoté už můžete navštívit svůj nový web na následující adrese:\n\n%s"
"[%s] Activate %s","[%s] Aktivace: %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Pro aktivaci nového uživatele kliněte prosím na následující odkaz:\n\n%s\n\nJakmile bude uživatel aktivován, dostanete *další email* s přihlašovacími údaji."
"Invalid activation key.","Aktivační klíč je neplatný."
"The user is already active.","Uživatel už byl úspěšně aktivován."
"The site is already active.","Web už byl úspěšně aktivován."
"Could not create user","Nepodařilo se vytvořit uživatele."
"That username is already activated.","Uživatelské jméno už bylo aktivováno."
"Could not create site.","Nepodařilo se vytvořit web."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nový web: %s\nURL adresa: %s\nIP adresa: %s\n\nZrušit notifikační emaily: %s"
"New Site Registration: %s","Registrace nového webu: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nový uživatel: %s\nIP adresa: %s\n\nZrušit notifikační emaily: %s"
"New User Registration: %s","Registrace nového uživatele: %s"
"Already Installed","WordPress byl již nainstalován"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","WordPress byl již pravděpodobně nainstalován. Pokud ho chcete přeinstalovat, vymažte prosím nejprve stávající tabulky v databázi."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Vítejte!\n\nNový web v rámci sítě SITE_NAME byl právě úspěšně vytvořen a je dostupný na následující adrese:\nBLOG_URL\n\nMůžete se přihlásit jako administrátor webu s pomocí následujících informací:\nUživatelské jméno: USERNAME\nHeslo: PASSWORD\nPřihlašovací adresa: BLOG_URLwp-login.php\n\nDoufáme, že budete s novým webem a jeho správou spokojeni.\n\nDěkujeme!\n\nAdministrátor @ SITE_NAME"
"New %s Site: %s","[%s] Registrace nového webu: %s"
"New %s User: %s","[%s] Registrace nového uživatele: %s"
"This file is too big. Files must be less than %d KB in size.","Nahrávaný soubor je příliš velký. Velikost souborů nesmí přesáhnout %d KB."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Během ověřování registrace uživatele na tomto webu došlo k chybě. Můžete se vrátit na <a href=\"%s\">úvodní stránku</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Uživatel byl úspěšně registrován na tomto webu. Můžete navštívit <a href=\"%s\">úvodní stránku</a> nebo se rovnou <a href=\"%s\">přihlásit</a> pomocí svého uživatelského jména a hesla."
"WordPress &rsaquo; Success","WordPress &rsaquo; Registrace byla úspěšná"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Vítejte!\n\nNový uživatelský účet byl právě úspěšně vytvořen.\n\nMůžete se přihlásit s pomocí následujících informací:\nUživatelské jméno: USERNAME\nHeslo: PASSWORD\nPřihlašovací adresa: LOGINLINK\n\nDěkujeme!\n\nAdministrátor @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Zvolený obsah už není nadále dostupný, protože se jeho autor rozhodl, že zcela zruší svůj uživatelský účet."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Zvolený obsah není dostupný, protože tento web ještě nebyl aktivován. Pokud máte problémy s aktivací webu, kontaktujte prosím administrátora na adrese <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Zvolený obsah už není nadále dostupný, protože byl tento web archivován nebo zakázán."
