"New password","新規パスワード"
"That site is currently reserved but may be available in a couple days.","このサイト名は予約中ですが、数日中に利用可能になるかもしれません。"
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","ブログを有効化するには次のリンクをクリックしてください:\n\n%s\n\n有効化を行うとメールがもう一通届きます。ここにログイン情報が書いてあります。\n\n有効化後、以下のリンクから自分のサイトにアクセスできます:\n\n%s"
"[%s] Activate %s","[%s] %s を有効化"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","ユーザーを有効化するには、以下のリンクをクリックしてください:\n\n%s\n\n有効化すると、ログイン情報を含むメールが別途届きます。"
"Invalid activation key.","無効な有効化キーです。"
"The user is already active.","このユーザーはすでに認証済みです。"
"The site is already active.","このサイトはすでに有効化済みです。"
"Could not create user","ユーザーを作成できませんでした"
"That username is already activated.","このユーザー名はすでに有効化されています。"
"Could not create site.","サイトを作成できませんでした。"
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","新サイト: %s\nURL: %s\nリモート IP: %s\n\nこの通知をオフにする: %s"
"New Site Registration: %s","新規サイト登録: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","新ユーザー: %s\nリモート IP: %s\n\nこの通知をオフにする: %s"
"New User Registration: %s","新規ユーザー登録: %s"
"Already Installed","すでにインストールされています"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","すでに WordPress をインストール済みのようです。再インストールするには、まず以前のデータベーステーブルを削除してください。"
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","ユーザー様へ\n\n新しいサイト SITE_NAME の設置に成功しました:\nBLOG_URL\n\n以下の情報を使って、管理者としてログインできます:\nユーザー名: USERNAME\nパスワード: PASSWORD\nログイン URL: BLOG_URLwp-login.php\n\n新しいサイトをお楽しみください。どうもありがとうございます !\n-- 運営チーム @ SITE_NAME"
"New %s Site: %s","新しい %s のサイト: %s"
"New %s User: %s","新しい %s のユーザー: %s"
"This file is too big. Files must be less than %d KB in size.","ファイルが大きすぎます。サイズを%dキロバイト以下にしてください。"
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","あなたをこのサイトに追加する際にエラーが起こりました。<a href=\"%s\">ホームページ</a>に戻ってください。"
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","あなたをこのサイトに追加しました。<a href=\"%s\">ホームページ</a>に移動するか、ユーザー名とパスワードを使って<a href=\"%s\">ログイン</a>してください。"
"WordPress &rsaquo; Success","WordPress &rsaquo; 成功"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","ユーザー様へ\n\n新しいアカウントを作成しました。\n\n以下の情報を使ってログインできます。\nユーザー名: USERNAME\nパスワード: PASSWORD\nLOGINLINK\n\nどうもありがとうございます !\n\n-- 運営チーム @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","ユーザーがアカウントを削除したためコンテンツは表示できなくなっています。"
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","このサイトはまだ有効化されていません。有効化がうまくいかないときは、<a href=\"mailto:%s\">%s</a> までお問い合わせください。"
"This site has been archived or suspended.","このサイトはアーカイブに保存されたか一時停止中になっています。"
"That site does not exist. Please try <a href=\"%s\">%s</a>.","そのサイトは存在しません。<a href=\"%s\">%s</a> をお試しください。"
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","このホスト上ではサイトが定義されていません。もしあなたがサイトの所有者なら、<a href=\"http://wpdocs.sourceforge.jp/Debugging_a_WordPress_Network\">WordPress ネットワークのデバッグ</a>のヘルプをご覧ください。"
"If your site does not display, please contact the owner of this network.","サイトが表示されない場合は、このネットワークの所有者にご連絡ください。"
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","あなたがこのネットワークのオーナーなら、MySQL が適切に動いていることと、すべてのテーブルにエラーがないことを確認してください。"
